100 2318.04 0
110 2330.96 0
120 2372.56 0
132 2365.34 0
145 2374.18 0
159 2400.54 0
175 2423.22 0
192 2447.58 0
210 2465.6 0
231 2489.4 0
254 2511.9 0
278 2536.88 0
305 2600.12 0
335 2660.36 0
368 2648.26 0
404 2630.52 0
443 2673.38 0
486 2686.56 0
534 2744.74 0
586 2768.94 0
643 2768.88 0
705 2782.8 0
774 2812.54 0
850 2832.12 0
933 2864.12 0
1024 2869.72 0
1123 2913.4 0
1233 2924.16 0
1353 2924.34 0
1485 2965.48 0
1630 2990.48 0
1789 3007.12 0
1963 3038.3 0
2154 3067.82 0
2364 3077.54 0
2595 3091.06 0
2848 3116.66 0
3126 3140.96 0
3430 3157.64 0
3765 3181.08 0
4132 3196.22 0
4535 3216.22 0
4977 3237.68 0
5462 3243 0
5995 3270.94 0
6579 3292.84 0
7221 3325.18 0
7925 3356.8 0
8697 3373.58 0
9545 3389.2 0
10476 3413.2 0
11498 3451.16 0
12619 3470.42 0
13849 3486.84 0
15199 3509.18 0
16681 3543.42 0
18307 3570.66 0
20092 3590.32 0
22051 3626.56 0
24201 3636.26 0
26561 3673.74 0
29151 3681.04 0
31993 3710.96 0
35112 3744.38 0
38535 3753.66 0
42292 3795.98 0
46416 3825.92 0
50941 3849.66 0
55908 3880.88 0
61359 3896.88 0
67342 3920.76 0
73907 3959.74 0
81113 3974.22 0
89022 4011.04 0
97701 4029.78 0
107227 4075.38 0
117681 4099.14 0
129155 4136.4 0
141747 4159.82 0
155568 4198.94 0
170735 4231.34 0
187382 4267.64 0
205651 4324.7 0
225702 4365.78 0
247708 4401.04 0
271859 4444.32 0
298365 4492.44 0
327455 4539.14 0
359381 4585.96 0
394421 4625.64 0
432876 4679 0
475081 24.94 0
521401 18.32 0
572237 30.64 0
628029 36.58 0
689261 31.72 0
756463 75.5 0
830218 166.46 0
911163 354.8 0
1000000 818.66 0
