100 0.48 4.76386
110 0.518182 5.39642
120 0.525 5.71302
132 0.537879 6.14169
145 0.586207 7.01846
159 0.654088 8.2039
175 0.702857 9.25227
192 0.953125 13.1469
210 0.766667 11.0634
231 0.818182 12.3872
254 0.889764 14.1301
278 0.956835 15.9013
305 1.03934 18.0967
335 1.16716 21.3035
368 1.30163 24.9063
404 1.30693 26.2079
443 1.51016 31.7174
486 1.78189 39.2058
534 1.79401 41.3826
586 2.15017 51.965
643 2.15241 54.498
705 2.87234 76.1615
774 2.73643 76.0347
850 2.72 79.2103
933 3.64416 111.195
1024 3.68848 117.919
1123 3.70971 124.208
1233 3.69424 129.617
1353 3.66223 134.611
1485 5.6734 218.484
1630 5.58282 225.261
1789 5.64561 238.658
1963 5.66735 250.97
2154 5.74513 266.516
2364 5.94332 288.849
2595 11.5992 590.652
2848 11.5169 614.402
3126 11.6123 649.044
3430 11.6618 682.79
3765 11.7397 720.154
4132 12.2943 790.095
4535 11.8192 795.758
4977 11.7943 831.893
5462 11.9004 879.343
5995 11.9266 923.292
6579 12.0535 977.524
7221 11.8543 1007.2
7925 11.836 1053.53
8697 11.8317 1103.27
9545 11.8177 1154.45
10476 11.8175 1209.43
11498 11.8194 1267.27
12619 12.9012 1449.13
13849 11.907 1401.14
15199 11.8626 1462.38
16681 11.9178 1539.14
18307 11.9353 1614.8
20092 11.9052 1687.44
22051 11.9133 1768.99
24201 11.8921 1849.93
26561 11.8708 1934.57
29151 11.907 2032.89
31993 11.9714 2141.2
35112 12.0927 2265.9
38535 11.9813 2351.91
42292 11.9171 2450.71
46416 11.9269 2569.53
50941 11.9354 2693.78
55908 11.9303 2820.86
61359 11.8613 2938.1
67342 12.0727 3132.86
73907 11.8351 3217.44
81113 11.8982 3388.61
89022 11.869 3541.25
97701 11.8617 3707.59
107227 11.8459 3878.97
117681 11.8541 4066.47
129155 11.8811 4269.8
141747 5.92887 2232.16
155568 5.93631 2341.39
170735 3.9535 1633.58
187382 3.96658 1717.03
205651 3.94941 1791
225702 3.96038 1881.49
247708 3.94053 1961.2
271859 3.96823 2069.03
298365 3.00831 1643.22
327455 2.37266 1357.72
359381 1.97622 1184.71
394421 1.9862 1247.39
432876 1.98078 1303.22
475081 1.48909 1026.37
521401 1.18617 856.509
572237 1.18895 899.394
628029 1.18846 941.836
689261 1.187 985.463
756463 1.18668 1032.11
830218 1.07952 983.616
911163 0.98945 944.477
1000000 0.846928 846.927
