100 4.16 0.53591
110 5.26 0.922546
120 6.5 2.25924
132 7.4 0.912871
145 8.74 2.21534
159 10.46 1.06523
175 12.64 2.39466
192 14.9 1.59508
210 24.76 26.9939
231 19.82 0.586205
254 47.58 70.9123
278 31.02 0.0593732
305 36.7 2.8171
335 44.38 0.202816
368 57.26 8.54235
404 67.04 1.1496
443 97.92 27.459
486 96.1 1.9119
534 121.82 2.5253
586 140 1.94813
643 192.4 42.625
705 213.8 3.96044
774 231.52 1.78295
850 299.96 4.44759
933 540.68 332.689
1024 471.4 24.5174
1123 516.14 9.30171
1233 696.32 14.5033
1353 830.96 59.9096
1485 1172.42 3.33981
1630 1315.36 3.86708
1789 1777.62 112.661
1963 2167.24 354.43
2154 3225 266.972
2364 3124.5 10.2189
2595 3569 3.36879
2848 3980 7.69754
3126 4521.5 7.18244
3430 10368 29.2212
3765 11660 10.5619
4132 14190 280.534
4535 14966 33.7714
4977 16932 43.1547
5462 18838 16.9961
5995 22030 92.7434
6579 25248 21.8633
7221 28908 17.8346
7925 34764 107.905
8697 38568 17.8427
9545 43194 174.386
10476 47346 35.1783
11498 53300 81.5573
12619 58978 51.8657
13849 65680 71.0443
15199 72782 68.3636
16681 80292 37.8018
18307 89108 54.6004
20092 98286 96.0965
22051 108060 35.634
24201 118742 54.492
26561 130284 27.7863
29151 143676 47.9597
31993 157336 28.362
35112 172356 29.2221
38535 189640 37.3649
42292 209418 171.172
46416 228490 40.1933
50941 250594 40.7494
55908 275962 198.638
61359 302834 77.3458
67342 166586 33.5997
73907 121520 22.4405
81113 133119 27.8152
89022 146493 28.6313
97701 160584 45.6353
107227 176409 31.5876
117681 193284 30.353
129155 212442 23.5569
141747 232855 20.2678
155568 255500 19.2271
170735 280919 54.9725
187382 308282 44.9406
205651 338602 34.8761
225702 371150 32.4895
247708 406896 26.7889
271859 448063 37.8468
298365 367856 21.9841
327455 323729 22.0703
359381 355082 25.7392
394421 390190 23.6726
432876 427693 20.9947
475081 334889 16.0877
521401 367171 14.2368
572237 402489 13.5147
628029 343788 10.8813
689261 377435 10.6497
756463 339570 11.1421
830218 341917 12.5945
911163 320714 7.06244
1000000 352081 7.27674
